,ResortName,Place,room,bed,Condition,Price,Rating,TotalReviews
29140,Samed sand sea resort,"Sai Kaew Beach, Ko Samed",Superior King Room,1 extra-large double bed,Good,US$43,7.8,144 reviews
29142,Sunrise Resort- Koh Phangan - SHA Extra Plus,"Haad Rin Nok, Haad Rin",Double Room with Pool View,Beds: 1 double or 2 singles,Review score,US$90,6.4,240 reviews
29143,Aonang Hill Krabi-SHA Extra Plus,Ao Nang Beach,Deluxe Double Room with Mountain View,1 large double bed,Superb,US$82,9.1,729 reviews
29145,Phi Phi Rimlay Resort,"Tonsai Bay, Phi Phi Don",Deluxe Double Room with Balcony,1 large double bed,Good,US$56,7.4,265 reviews
29146,Koh Tao Royal Resort,Koh Tao,Standard Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 172.2feet²2 single beds,Good,US$41,7.7,168 reviews
29147,Ramada by Wyndham Aonang Krabi,Ao Nang Beach,Deluxe Pool View,Beds: 1 double or 2 singles,Review score,US$50,6.3,87 reviews
29149,Lazy Day The Resort,Ko Mak,Bungalow - Beach Front,Entire bungalow • 1 bedroom • 1 bathroom • 366feet²1 large double bed,Very good,US$179,8.5,73 reviews
29150,Smile Resort,Ban Mai Na Hi,Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 322.9feet²1 large double bed,Review score,US$16,6.5,14 reviews
29152,Koh Yao Noi Beach Resort,Ko Yao Noi,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²1 extra-large double bed,Good,US$40,7.6,41 reviews
29153,Chang Pai Garden,Pai,Standard Queen Room,1 double bed,Good,US$18,7.5,152 reviews
29154,Lacol Khaoyai Hotel,Mu Si,Family Suite,2 double beds,Good,US$451,7.5,39 reviews
29158,Palm Paradise Resort,Ao Nang Beach,Palm Twin Villa,Entire villa • 1 bedroom • 1 bathroom • 312.2feet²1 large double bed,Review score,US$40,6.8,150 reviews
29159,Mae On Village Resort,Roi Et,Holiday Home,Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 387.5feet²1 extra-large double bed,Very good,US$24,8.5,46 reviews
29160,Verona Lanta Resort,"Koh Lanta Old Town, Ko Lanta",Superior King Room,1 extra-large double bed,Exceptional,US$40,9.7,78 reviews
29162,Karinthip Village,"Chang Moi, Chiang Mai",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$50,8.7,8 reviews
29163,MRK Resort & Massage,Lop Buri,One-Bedroom Chalet,Entire chalet • 1 bedroom • 1 bathroom • 215.3feet²2 double beds,Fabulous,US$22,8.7,38 reviews
29164,Sakthong Resort,Sawankhalok,Standard Queen Room,1 large double bed,Good,US$16,7.9,10 reviews
29165,The Siam Residence Boutique Resort,Lipa Noi,Villa with Partial Garden View,Entire villa • 1 bedroom • 1 bathroom • 861.1feet²1 extra-large double bed,Fabulous,US$95,8.8,26 reviews
29166,El Vaso Resort,Ban Map Chalut,Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom2 single beds,Superb,US$64,9.1,21 reviews
29167,The Passion Nest - SHA Plus Certified,Phuket Town,Twin Room with Balcony,2 single beds,Fabulous,US$33,8.8,288 reviews
29168,Isara Lanta Beach Resort,"Klong Khong Beach, Ko Lanta",Standard Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Very good,US$24,8.4,107 reviews
29169,Green Chilli Bungalows,"Klong Khong Beach, Ko Lanta",Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 129.2feet²1 large double bed,Good,US$16,7.7,50 reviews
29170,Pine Bungalow Krabi,Klong Muang Beach,Standard Bungalow with Fan (near street),Entire bungalow • 1 bedroom • 1 bathroom • 161.5feet²1 large double bed,Very good,US$11,8.1,157 reviews
29171,Chaolao Cabana Resort,Chao Lao Beach,Deluxe Twin Room with Pool View,2 single beds,Good,US$101,7.8,19 reviews
29172,Saree Samui,Mae Nam,Tropical Villa,Entire villa • 1 bedroom • 1 bathroom • 990.3feet²1 double bed,Fabulous,US$189,8.8,45 reviews
29176,Sabai Resort,"Nopparat Thara Beach, Ao Nang Beach",Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 279.9feet²1 large double bed,Very good,US$46,8,140 reviews
29177,Phuchifa Faedviewresort,Ban Huai Han,King Room with Mountain View,1 large double bed,,US$34,,
